Parameter_C,L1,L2
-1.759362,2.990365688129969e-06,-0.0023521090458556225
-1.7593611,2.6564421454924556e-06,-0.0023351420070923785
-1.7593602,2.0903197693066066e-06,-0.0024548613766084905
-1.7593593,1.210427005003671e-06,-0.0023602917850009545
-1.7593584,-7.268502450576102e-08,-0.0024336901705322967
-1.7593575,-1.8685691390705726e-06,-0.002382371704841415
-1.7593566,-4.404323453132805e-06,-0.0025356230171700396
-1.7593557,-8.386295201972392e-06,-0.002442204377199733
-1.7593548,-1.6200367559623028e-05,-0.0023792650980329314
-1.7593539,-3.9743981443299815e-05,-0.002491077896420985
-1.759353,-3.108730299819483e-05,-0.002422534486720524
-1.7593521,1.538354071631478e-06,-0.0022731763889409402
-1.7593512,4.9761196482680474e-05,-0.0022421611416278543
-1.7593503,5.515077106791792e-05,-0.002258524132311783
-1.7593494,3.7250490498234325e-05,-0.002373955320482231
-1.7593485,2.8281056382700943e-05,-0.0023657684407818957
-1.7593476,2.3848608053302864e-05,-0.0024140446658111325
-1.7593467,2.1451568022853605e-05,-0.002455873297299507
-1.7593458,2.011188224668819e-05,-0.0023971853498846894
-1.7593449,1.926081068965591e-05,-0.002368477445562765
-1.759344,1.8620776719587642e-05,-0.0024149934513216205
-1.7593431,1.808471298666264e-05,-0.0025754100901499476
-1.7593422,1.761675300780706e-05,-0.002601361517685582
-1.7593413,1.7205320841590548e-05,-0.0025841491475487115
-1.7593404,1.6845814643473277e-05,-0.00266205222276608
-1.7593395,1.6535109777222008e-05,-0.0027088897531352724
-1.7593386,1.627008817701733e-05,-0.002664314818287798
-1.7593377,1.604738214337584e-05,-0.002644663554817185
-1.7593368,1.5863426636786406e-05,-0.002672094671194236
-1.7593359,1.571456038821432e-05,-0.002772381168596269
-1.759335,1.55971148842043e-05,-0.0027090786305153484
-1.7593341,1.550748366422116e-05,-0.002621441819480556
-1.7593332,1.54421752844593e-05,-0.002633299457067224
-1.7593323,1.539785394879331e-05,-0.0027829931311224142
-1.7593314,1.537137083170029e-05,-0.002802216241401254
-1.7593305,1.535978814052649e-05,-0.0027706804003683055
-1.7593296,1.5360397134077616e-05,-0.002797261612872557
-1.7593287,1.5370730795948963e-05,-0.0027911588543098943
-1.7593278,1.538857181389675e-05,-0.002831612778352758
-1.7593269,1.5411956804205312e-05,-0.002771259108154823
-1.759326,1.5439177928679246e-05,-0.0028602323357206933
-1.7593251,1.5468782811193676e-05,-0.0028573106412064157
-1.7593242,1.5499572928999238e-05,-0.0028993335301672734
-1.7593233,1.5530599723077272e-05,-0.0029254944289015816
-1.7593224,1.5561156944358377e-05,-0.002999489071719118
-1.7593215,1.5590767514137577e-05,-0.003028944012770639
-1.7593206,1.561916351406223e-05,-0.0031456395120307732
-1.7593197,1.564625876440491e-05,-0.003149955926049054
-1.7593188,1.56721146367998e-05,-0.003112174438661961
-1.7593179,1.5696901045261366e-05,-0.0030710714398093837
-1.759317,1.5720855667124932e-05,-0.003171797172830484
-1.7593161,1.5744245045866408e-05,-0.0033082979712967444
-1.7593152,1.5767331091897727e-05,-0.0032243042499951894
-1.7593143,1.5790345602156955e-05,-0.0032022115083263874
-1.7593134,1.581347399548403e-05,-0.0032355785783275194
-1.7593125,1.5836847925329856e-05,-0.0032052992813288664
-1.7593116,1.58605452217343e-05,-0.0032374855788597106
-1.7593107,1.5884595008801235e-05,-0.0033138970300379076
-1.7593098,1.590898586415425e-05,-0.0033989606606147486
-1.7593089,1.5933675333534793e-05,-0.003249618070500368
-1.759308,1.5958599698288738e-05,-0.0028519508067911623
-1.7593071,1.5983683382559575e-05,-0.0026540973100019566
-1.7593062,1.6008847679481272e-05,-0.0025040147164768264
-1.7593053,1.603401859152926e-05,-0.002378955709808733
-1.7593044,1.605913359652158e-05,-0.0022699863349237666
-1.7593035,1.6084147139811932e-05,-0.002172489335461831
-1.7593026,1.6109034655389812e-05,-0.002083708761798192
-1.7593017,1.6133794948012236e-05,-0.00200184699869433
-1.7593008,1.6158450829103135e-05,-0.0019256550033139776
-1.7592999,1.6183047993333744e-05,-0.001854220513791405
-1.759299,1.620765224892381e-05,-0.0017868496154812823
-1.7592981,1.623234536116597e-05,-0.0017229966607798255
-1.7592972,1.625721991206435e-05,-0.0016622206545450042
-1.7592963,1.628237368901513e-05,-0.0016041569388008017
-1.7592954,1.6307904164251118e-05,-0.0015484983347209163
-1.7592945,1.633390359825344e-05,-0.0014949824865801867
-1.7592936,1.6360455196314347e-05,-0.001443383374428726
-1.7592927,1.6387630588144548e-05,-0.0013935055757079956
-1.7592918,1.6415488719033627e-05,-0.0013451802295157591
-1.7592909,1.6444076073840997e-05,-0.0012982619426670566
-1.75929,1.647342803055889e-05,-0.0012526261261500537
-1.7592891,1.6503571071663985e-05,-0.0012081664722421235
-1.7592882,1.653452556559924e-05,-0.0011647924639595528
-1.7592873,1.656630885208682e-05,-0.0011224269331505563
-1.7592864,1.6598938404088674e-05,-0.0010810037455630075
-1.7592855,1.663243488011155e-05,-0.001040465701096571
-1.7592846,1.6666824914870132e-05,-0.0010007627161746164
-1.7592837,1.670214352343038e-05,-0.0009618503235550632
-1.7592828,1.673843601797542e-05,-0.0009236884962151938
-1.7592819,1.677575936244711e-05,-0.0008862407809789841
-1.759281,1.681418292200098e-05,-0.0008494737137723439
-1.7592801,1.685378860213927e-05,-0.0008133564795821887
-1.7592792,1.6894670414592603e-05,-0.0007778607746220453
-1.7592783,1.6936933549699752e-05,-0.0007429608252160477
-1.7592774,1.698069307340023e-05,-0.0007086335177285153
-1.7592765,1.702607239604314e-05,-0.0006748585971230014
-1.7592756,1.7073201675708987e-05,-0.0006416188989898467
-1.7592747,1.7122216317828755e-05,-0.0006089005912224108
-1.7592738,1.717325571498788e-05,-0.0005766934164170516
-1.7592729,1.722646233780961e-05,-0.0005449909435705878
-1.759272,1.728198124344766e-05,-0.0005137908569288297
-1.7592711,1.7339960016044692e-05,-0.00048309533095913446
-1.7592702,1.7400549092287636e-05,-0.0004529115651409549
-1.7592693,1.7463902337498e-05,-0.000423252584958508
-1.7592684,1.753017755961469e-05,-0.00039413846435299305
-1.7592675,1.759953618639092e-05,-0.00036559820407443093
-1.7592666,1.767214003903996e-05,-0.00033767263322547955
-1.7592657,1.7748139548835795e-05,-0.00031041892428164934
-1.7592648,1.782763818513214e-05,-0.0002839176734605554
-1.7592639,1.7910593784596456e-05,-0.0002582840310392892
-1.759263,1.7996562336698892e-05,-0.0002336849649789053
-1.7592621,1.8084082754604223e-05,-0.00021036478468771795
-1.7592612,1.816936035092264e-05,-0.0001886785286170405
